角度,子主题,话术类型,话术模板,宽松填充,备注
开场钩子,低价捡漏,数据,{小区名称}一套{建筑面积}㎡法拍房，起拍仅{起拍价}万，捡漏窗口开了！,
开场钩子,对比评估价,数据,评估价{参考价}万，今天{起拍价}万就能拿下，相当于{折扣率}折！,,折扣率为派生
开场钩子,单价钩子,数据,{小区名称}单价{单价}万/㎡这种价格，市场上根本碰不到。,,单价为派生
开场钩子,价值铺垫,固定,法拍房不是便宜，是便宜到离谱，这条视频帮你把账算明白。,
开场钩子,区域引导,数据,想在{区域}买房又嫌贵的，这套{小区名称}起拍{起拍价}万，闭眼对比周边。,
开场钩子,开拍预告,数据,马上开拍的{小区名称}，{建筑面积}㎡只要{起拍价}万，手慢无。,
开场钩子,差价直给,数据,参考价{参考价}万，起拍只要{起拍价}万，中间的差价就是法拍的机会。,
开场钩子,面积钩子,数据,{建筑面积}㎡只要{起拍价}万？{小区名称}这套法拍房，价格先看再说。,
开场钩子,悬念钩子,固定,这套房为什么能便宜这么多拍？看完这条视频你就明白了。,
开场钩子,数字直给,数据,{小区名称}，{建筑面积}㎡，起拍{起拍价}万，数字都摆在这，值不值你算。,
房源硬指标,面积户型楼层,数据,{建筑面积}㎡，{户型}，{朝向}采光，位于{所在楼层}层（共{总层数}层）。,
房源硬指标,装修房龄,数据,装修情况：{装修}，房龄约{房龄}年，不动产权证号齐全，产权清晰。,
房源硬指标,用途结构,数据,房屋用途{房屋用途}，建筑结构{建筑结构}，实地看样以现状为准。,
房源硬指标,朝向户型,数据,{朝向}朝向，{户型}，通透格局，日常采光通风都不错。,
房源硬指标,性价比判断,固定,房源性价比看硬指标，面积、户型、楼层、装修，这几项达标才值得冲。,
房源硬指标,中间楼层,数据,总高{总层数}层，这套在{所在楼层}层，不高不低，中间楼层最抢手。,否,断言行: 楼层值缺一即不成立(1层说"不高不低"会误导),需全填
房源硬指标,面积直给,数据,{建筑面积}㎡，{房屋用途}，面积实打实写进产证。,
房源硬指标,楼层客观,数据,{所在楼层}层（共{总层数}层），楼层高低各有喜好，关键是价格够不够低。,
房源硬指标,装修现状,数据,装修情况：{装修}，法拍房按现状拍，装修是加分项不是必需项。,
房源硬指标,房龄提示,数据,房龄约{房龄}年，贷款年限和房龄挂钩，参拍前先问银行。,
